,premise,hypothesis,extracted_idiom,base_form,idiom_pos,identity_cql,passive_cql,adj_insertion_cql_1,adj_insertion_cql_2,adv_insertion_cql,adv_insertion_cql_adj,nominalization_cql,infinigram_index,infinigram_query,infinigram_count,infinigram_approx,infinigram_latency,infinigram_token_ids,infinigram_tokens,infinigram_error,infinigram_total_tokens,infinigram_per_billion_tokens
10,You never go out on a limb and try something new or different .,You never go into a dangerous position and try something new or different .,go out on a limb,go out on a limb,"[go, out, on, a, limb]","q[lemma=""go""][lemma=""out""][lemma=""on""][lemma=""a""][lemma=""limb""]",,"q[lemma=""go""][lemma=""out""][lemma=""on""][lemma=""a""][tag=""J.*""][lemma=""limb""]",,"q[tag=""RB.?""][lemma=""go""][lemma=""out""][lemma=""on""][lemma=""a""][lemma=""limb""]",,"q[lemma=""go"" & tag=""N.*""][lemma=""out""][lemma=""of""][lemma=""on""][lemma=""a""][lemma=""limb""]",v4_olmo-mix-1124_llama,go out on a limb,1087089,False,823.3218193054199,"[748,714,373,263,2485,29890]","[""▁go"",""▁out"",""▁on"",""▁a"",""▁lim"",""b""]",,4575475702047,237.59037765486386
11,"Only elves and trolls had survived the coming of Man to the discworld ; the elves because they were altogether too clever by half , and the trollen folk because they were at least as good as humans at being nasty , spiteful and greedy .","Only elves and trolls had survived the coming of Man to the discworld ; the elves because they were altogether too proud of their intelligence , and the trollen folk because they were at least as good as humans at being nasty , spiteful and greedy .",too clever by half,too clever by half,"[too, clever, by, half]","q[lemma=""too""][lemma=""clever""][lemma=""by""][lemma=""half""]",,"q[lemma=""too""][lemma=""clever""][lemma=""by""][tag=""J.*""][lemma=""half""]",,"q[tag=""RB.?""][lemma=""too""][lemma=""clever""][lemma=""by""][lemma=""half""]","q[lemma=""too""][tag=""RB.?""][lemma=""clever""][lemma=""by""][lemma=""half""]",,v4_olmo-mix-1124_llama,too clever by half,103862,False,631.7956447601318,"[2086,23455,491,4203]","[""▁too"",""▁clever"",""▁by"",""▁half""]",,4575475702047,22.69971621825763
12,If the front rabbit sits tight and declines to budge there is no way the others can move .,If the front rabbit sits firmly and declines to budge there is no way the others can move .,sits tight,sit tight,"[sit, tight]","q[lemma=""sit""][lemma=""tight""]",,,,"q[tag=""RB.?""][lemma=""sit""][lemma=""tight""]",,"q[lemma=""sit"" & tag=""N.*""][lemma=""of""][lemma=""tight""]",v4_olmo-mix-1124_llama,sit tight,577875,False,684.5870018005371,"[7845,19932]","[""▁sit"",""▁tight""]",,4575475702047,126.29834308626474
13," But when I asked her if she knew of anyone who might have a motive for killing Alain , it did n't seem to ring any bells . '"," But when I asked her if she knew of anyone who might have a motive for killing Alain , it did n't seem to familiar to her . '",ring any bells,ring a bell,"[ring, a, bell]","q[lemma=""ring""][lemma=""a""][lemma=""bell""]","q[lemma=""a""][lemma=""bell""][lemma=""be""][lemma=""ring""]","q[lemma=""ring""][lemma=""a""][tag=""J.*""][lemma=""bell""]",,"q[tag=""RB.?""][lemma=""ring""][lemma=""a""][lemma=""bell""]",,"q[lemma=""ring"" & tag=""N.*""][lemma=""of""][lemma=""a""][lemma=""bell""]",v4_olmo-mix-1124_llama,ring a bell,1009740,False,770.85280418396,"[9228,263,22623]","[""▁ring"",""▁a"",""▁bell""]",,4575475702047,220.68525018027245
14,You know who else used to do practice rain or shine on any field or driveway she could find? Abby Wambach.,"You know who else used to do practice, no matter what happens, on any field or driveway she could find? Abby Wambach.",rain or shine,rain or shine,"[rain, or, shine]","q[lemma=""rain""][lemma=""or""][lemma=""shine""]",,"q[tag=""J.*""][lemma=""rain""][lemma=""or""][lemma=""shine""]","q[lemma=""rain""][lemma=""or""][tag=""J.*""][lemma=""shine""]","q[tag=""RB.?""][lemma=""rain""][lemma=""or""][lemma=""shine""]",,,v4_olmo-mix-1124_llama,rain or shine,494092,False,721.5240001678467,"[17251,470,528,457]","[""▁rain"",""▁or"",""▁sh"",""ine""]",,4575475702047,107.98702302778061
15,"‘ If we can get through to July 1 we will be okay , but at the moment people ( other clubs ) are sitting around like vultures waiting to pick up the pieces,’ added Beller .","‘ If we can get through to July 1 we will be okay , but at the moment people ( other clubs ) are sitting around like vultures waiting to put themselves together,’ added Beller .",pick up the pieces,pick up the pieces,"[pick, up, the, piece]","q[lemma=""pick""][lemma=""up""][lemma=""the""][lemma=""piece""]","q[lemma=""the""][lemma=""piece""][lemma=""be""][lemma=""pick""][lemma=""up""]","q[lemma=""pick""][lemma=""up""][lemma=""the""][tag=""J.*""][lemma=""piece""]",,"q[tag=""RB.?""][lemma=""pick""][lemma=""up""][lemma=""the""][lemma=""piece""]",,"q[lemma=""pick"" & tag=""N.*""][lemma=""up""][lemma=""of""][lemma=""the""][lemma=""piece""]",v4_olmo-mix-1124_llama,pick up the pieces,1032417,False,793.6251163482666,"[5839,701,278,12785]","[""▁pick"",""▁up"",""▁the"",""▁pieces""]",,4575475702047,225.64145615244158
16,A KNIFE - wielding intruder who bound and gagged a woman walked free from court yesterday .,A KNIFE - wielding intruder who bound and gagged a woman walked without being punished from court yesterday .,walked free,walk free,"[walk, free]","q[lemma=""walk""][lemma=""free""]",,,,"q[tag=""RB.?""][lemma=""walk""][lemma=""free""]","q[lemma=""walk""][tag=""RB.?""][lemma=""free""]","q[lemma=""walk"" & tag=""N.*""][lemma=""of""][lemma=""free""]",v4_olmo-mix-1124_llama,walk free,436614,False,720.4906940460205,"[6686,3889]","[""▁walk"",""▁free""]",,4575475702047,95.42483195892952
17,"Exactly seven months after giving birth to a child, a Georgetown woman is facing charges for being under the influence of drugs during her pregnancy.","Exactly seven months after giving birth to a child, a Georgetown woman is facing charges for being affected by drugs during her pregnancy.",under the influence,under the influence,"[under, the, influence]","q[lemma=""under""][lemma=""the""][lemma=""influence""]",,"q[lemma=""under""][lemma=""the""][tag=""J.*""][lemma=""influence""]",,"q[tag=""RB.?""][lemma=""under""][lemma=""the""][lemma=""influence""]",,,v4_olmo-mix-1124_llama,under the influence,9690162,False,796.9779968261719,"[1090,278,9949]","[""▁under"",""▁the"",""▁influence""]",,4575475702047,2117.8479858749474
18,"They are enemies on the field -- and on draft day -- but many are friends who love to talk shop and, sometimes, even trade information. ","They are enemies on the field -- and on draft day -- but many are friends who love to talk about work and, sometimes, even trade information. ",talk shop,talk shop,"[talk, shop]","q[lemma=""talk""][lemma=""shop""]",,"q[tag=""J.*""][lemma=""talk""][lemma=""shop""]","q[lemma=""talk""][tag=""J.*""][lemma=""shop""]","q[tag=""RB.?""][lemma=""talk""][lemma=""shop""]",,,v4_olmo-mix-1124_llama,talk shop,211055,False,828.6280632019043,"[5193,18296]","[""▁talk"",""▁shop""]",,4575475702047,46.12744417057599
19,Now Paul will think twice .,Now Paul will consider carefully before action .,think twice,think twice,"[think, twice]","q[lemma=""think""][lemma=""twice""]",,,,"q[tag=""RB.?""][lemma=""think""][lemma=""twice""]",,"q[lemma=""think"" & tag=""N.*""][lemma=""of""][lemma=""twice""]",v4_olmo-mix-1124_llama,think twice,6966328,False,811.866044998169,"[1348,8951]","[""▁think"",""▁twice""]",,4575475702047,1522.5363336282976
20,"Instead of his usual behind the scenes stage management of pawns and other pieces , he was confronted by an array of unpredictable variables .","Instead of his usual secret stage management of pawns and other pieces , he was confronted by an array of unpredictable variables .",behind the scenes,behind the scenes,"[behind, the, scene]","q[lemma=""behind""][lemma=""the""][lemma=""scene""]",,"q[lemma=""behind""][lemma=""the""][tag=""J.*""][lemma=""scene""]",,"q[tag=""RB.?""][lemma=""behind""][lemma=""the""][lemma=""scene""]",,,v4_olmo-mix-1124_llama,behind the scenes,12292016,False,881.3869953155518,"[5742,278,20407]","[""▁behind"",""▁the"",""▁scenes""]",,4575475702047,2686.500115059235
21,"In any case , if a writer has managed to put some key point rather well , why not both give him the credit for doing so , and at the same time avoid struggling to reinvent the wheel ?","In any case , if a writer has managed to put some key point rather well , why not both give him the credit for doing so , and at the same time avoid struggling to waste a lot of time on creating a thing that has already existed?",reinvent the wheel,reinvent the wheel,"[reinvent, the, wheel]","q[lemma=""reinvent""][lemma=""the""][lemma=""wheel""]","q[lemma=""the""][lemma=""wheel""][lemma=""be""][lemma=""reinvent""]","q[lemma=""reinvent""][lemma=""the""][tag=""J.*""][lemma=""wheel""]",,"q[tag=""RB.?""][lemma=""reinvent""][lemma=""the""][lemma=""wheel""]",,"q[lemma=""reinvent"" & tag=""N.*""][lemma=""of""][lemma=""the""][lemma=""wheel""]",v4_olmo-mix-1124_llama,reinvent the wheel,1304675,False,777.5788307189941,"[15561,794,278,18875]","[""▁rein"",""vent"",""▁the"",""▁wheel""]",,4575475702047,285.1452143907808
22,At one time I had this scrubbing brush and I used to spend the whole day scrubbing and I used to have a big pan and I used to boil my clothes up in it — it drove me round the bend …,At one time I had this scrubbing brush and I used to spend the whole day scrubbing and I used to have a big pan and I used to boil my clothes up in it — it drove me crazy,round the bend,drive someone round the bend,"[drive, someone, round, the, bend]","q[lemma=""drive""][tag=""PP.?|N.*|DT|RP""]{1,2}[lemma=""round""][lemma=""the""][lemma=""bend""]","q[tag=""PP.?|N.*|DT|RP""]{1,2}[lemma=""be""][lemma=""drive""][lemma=""round""][lemma=""the""][lemma=""bend""]","q[lemma=""drive""][tag=""PP.?|N.*|DT|RP""]{1,2}[lemma=""round""][lemma=""the""][tag=""J.*""][lemma=""bend""]",,"q[tag=""RB.?""][lemma=""drive""][tag=""PP.?|N.*|DT|RP""]{1,2}[lemma=""round""][lemma=""the""][lemma=""bend""]","q[lemma=""drive""][tag=""PP.?|N.*|DT|RP""]{1,2}[tag=""RB.?""][lemma=""round""][lemma=""the""][lemma=""bend""]","q[lemma=""drive"" & tag=""N.*""][lemma=""of""][tag=""PP.?|N.*|DT|RP""]{1,2}[lemma=""round""][lemma=""the""][lemma=""bend""]",v4_olmo-mix-1124_llama,drive someone round the bend,131,False,487.73765563964844,"[7899,4856,4513,278,289,355]","[""▁drive"",""▁someone"",""▁round"",""▁the"",""▁b"",""end""]",,4575475702047,0.0286309027805333
23,"Benjamin went down on one knee , tugging at my sleeve for me to follow suit .","Benjamin went down on one knee , tugging at my sleeve for me to conform to his actions .",follow suit,follow suit,"[follow, suit]","q[lemma=""follow""][lemma=""suit""]","q[lemma=""suit""][lemma=""be""][lemma=""follow""]","q[lemma=""follow""][tag=""J.*""][lemma=""suit""]",,"q[tag=""RB.?""][lemma=""follow""][lemma=""suit""]",,"q[lemma=""follow""][lemma=""of""][lemma=""suit""]",v4_olmo-mix-1124_llama,follow suit,3895746,False,628.354549407959,"[1101,14726]","[""▁follow"",""▁suit""]",,4575475702047,851.440648730164
24,"Similarly , an increase in the number of brands on offer may be a consumer gain , even though it reduces the probability of new suppliers entering the market in the long run .","Similarly , an increase in the number of brands on offer may be a consumer gain , even though it reduces the probability of new suppliers entering the market eventually .",in the long run,the long run,"[the, long, run]","q[lemma=""the""][lemma=""long""][lemma=""run""]",,"q[lemma=""the""][lemma=""long""][tag=""J.*""][lemma=""run""]",,"q[tag=""RB.?""][lemma=""the""][lemma=""long""][lemma=""run""]","q[lemma=""the""][tag=""RB.?""][lemma=""long""][lemma=""run""]",,v4_olmo-mix-1124_llama,the long run,30989224,False,774.2009162902832,"[278,1472,1065]","[""▁the"",""▁long"",""▁run""]",,4575475702047,6772.896638077628
25,Now all the effort goes into preparing for the next one … although the RAF 's team is calling it a day .,Now all the effort goes into preparing for the next one … although the RAF 's team is capitulating.,calling it a day,call it a day,"[call, it, a, day]","q[lemma=""call""][lemma=""it""][lemma=""a""][lemma=""day""]","q[lemma=""it""][lemma=""be""][lemma=""call""][lemma=""a""][lemma=""day""]","q[lemma=""call""][lemma=""it""][lemma=""a""][tag=""J.*""][lemma=""day""]",,"q[tag=""RB.?""][lemma=""call""][lemma=""it""][lemma=""a""][lemma=""day""]",,"q[lemma=""call"" & tag=""N.*""][lemma=""of""][lemma=""it""][lemma=""a""][lemma=""day""]",v4_olmo-mix-1124_llama,call it a day,1528299,False,629.7266483306885,"[1246,372,263,2462]","[""▁call"",""▁it"",""▁a"",""▁day""]",,4575475702047,334.01969533271955
26,Jamie rushed out pissed off and upset this afternoon .,Jamie rushed out irritated and upset this afternoon .,pissed off,piss off,"[piss, off]","q[lemma=""piss""][lemma=""off""]",,,,"q[tag=""RB.?""][lemma=""piss""][lemma=""off""]",,"q[lemma=""piss"" & tag=""N.*""][lemma=""off""][lemma=""of""]",v4_olmo-mix-1124_llama,piss off,2399251,False,795.5379486083984,"[282,790,1283]","[""▁p"",""iss"",""▁off""]",,4575475702047,524.3719246343305
27,I wished I could help him then ; he looked so down in the mouth hunched up by the stove .,I wished I could help him then ; he looked so unhappy hunched up by the stove .,down in the mouth,down in the mouth,"[down, in, the, mouth]","q[lemma=""down""][lemma=""in""][lemma=""the""][lemma=""mouth""]",,"q[lemma=""down""][lemma=""in""][lemma=""the""][tag=""J.*""][lemma=""mouth""]",,"q[tag=""RB.?""][lemma=""down""][lemma=""in""][lemma=""the""][lemma=""mouth""]",,,v4_olmo-mix-1124_llama,down in the mouth,55589,False,668.5147285461426,"[1623,297,278,13394]","[""▁down"",""▁in"",""▁the"",""▁mouth""]",,4575475702047,12.149337821885997
28,6 clean sheets on the trot ( although some of those were cup games ) .,6 clean sheets in succession ( although some of those were cup games ) .,on the trot,on the trot,"[on, the, trot]","q[lemma=""on""][lemma=""the""][lemma=""trot""]",,"q[lemma=""on""][lemma=""the""][tag=""J.*""][lemma=""trot""]",,"q[tag=""RB.?""][lemma=""on""][lemma=""the""][lemma=""trot""]",,,v4_olmo-mix-1124_llama,on the trot,117102,False,627.2351741790771,"[373,278,3147,29873]","[""▁on"",""▁the"",""▁tro"",""t""]",,4575475702047,25.59340440767947
29,Alison makes the grade for Scotland,Alison succeeds for Scotland,makes the grade,make the grade,"[make, the, grade]","q[lemma=""make""][lemma=""the""][lemma=""grade""]","q[lemma=""the""][lemma=""grade""][lemma=""be""][lemma=""make""]","q[lemma=""make""][lemma=""the""][tag=""J.*""][lemma=""grade""]",,"q[tag=""RB.?""][lemma=""make""][lemma=""the""][lemma=""grade""]",,"q[lemma=""make"" & tag=""N.*""][lemma=""of""][lemma=""the""][lemma=""grade""]",v4_olmo-mix-1124_llama,make the grade,407282,False,737.4277114868164,"[1207,278,19468]","[""▁make"",""▁the"",""▁grade""]",,4575475702047,89.01413241420735
30,"But you had to get past that first because Bill was always frightened of somebody , perhaps , trying to get the better of him .","But you had to get past that first because Bill was always frightened of somebody , perhaps , trying to defeat him .",get the better of,get the better of someone,"[get, the, well, of, someone]","q[lemma=""get""][lemma=""the""][lemma=""well""][lemma=""of""][tag=""PP.?|N.*|DT|RP""]{1,2}","q[lemma=""the""][lemma=""well""][lemma=""of""][tag=""PP.?|N.*|DT|RP""]{1,2}[lemma=""be""][lemma=""get""]","q[lemma=""get""][lemma=""the""][tag=""J.*""][lemma=""well""][lemma=""of""][tag=""PP.?|N.*|DT|RP""]{1,2}",,"q[tag=""RB.?""][lemma=""get""][lemma=""the""][lemma=""well""][lemma=""of""][tag=""PP.?|N.*|DT|RP""]{1,2}",,"q[lemma=""get"" & tag=""N.*""][lemma=""of""][lemma=""the""][lemma=""well""][lemma=""of""][tag=""PP.?|N.*|DT|RP""]{1,2}",v4_olmo-mix-1124_llama,get the better of someone,2089,False,546.8356609344482,"[679,278,2253,310,4856]","[""▁get"",""▁the"",""▁better"",""▁of"",""▁someone""]",,4575475702047,0.45656454892010734
31,"Upwardly so , I suppose , since I have now hit rock bottom .","Upwardly so , I suppose , since I have now reached the worst possible state .",hit rock bottom,hit rock bottom,"[hit, rock, bottom]","q[lemma=""hit""][lemma=""rock""][lemma=""bottom""]","q[lemma=""rock""][lemma=""bottom""][lemma=""be""][lemma=""hit""]","q[lemma=""hit""][tag=""J.*""][lemma=""rock""][lemma=""bottom""]","q[lemma=""hit""][lemma=""rock""][tag=""J.*""][lemma=""bottom""]","q[tag=""RB.?""][lemma=""hit""][lemma=""rock""][lemma=""bottom""]",,"q[lemma=""hit"" & tag=""N.*""][lemma=""of""][lemma=""rock""][lemma=""bottom""]",v4_olmo-mix-1124_llama,hit rock bottom,675965,False,663.3825302124023,"[7124,7679,5970]","[""▁hit"",""▁rock"",""▁bottom""]",,4575475702047,147.7365511301007
32,A sign of the old times round here perhaps .,A thing representing an older era round here perhaps .,sign of the old times,sign of the times,"[a, sign, of, the, old, time]","q[lemma=""a""][lemma=""sign""][lemma=""of""][lemma=""the""][lemma=""old""][lemma=""time""]",,"q[lemma=""a""][tag=""J.*""][lemma=""sign""][lemma=""of""][lemma=""the""][lemma=""old""][lemma=""time""]","q[lemma=""a""][lemma=""sign""][lemma=""of""][lemma=""the""][lemma=""old""][tag=""J.*""][lemma=""time""]","q[tag=""RB.?""][lemma=""a""][lemma=""sign""][lemma=""of""][lemma=""the""][lemma=""old""][lemma=""time""]","q[lemma=""a""][lemma=""sign""][lemma=""of""][lemma=""the""][tag=""RB.?""][lemma=""old""][lemma=""time""]",,v4_olmo-mix-1124_llama,sign of the times,573015,False,599.3726253509521,"[1804,310,278,3064]","[""▁sign"",""▁of"",""▁the"",""▁times""]",,4575475702047,125.23615844875793
33,"If the archetypal Tory of the 1979 intake was a rent - a - quote property dealer who backed Mrs Thatcher to the death and the death penalty to the hilt , Mr Heddle can be called a sad loss to the Two Nations Tendency .","If the archetypal Tory of the 1979 intake was a rent - a - quote property dealer who backed Mrs Thatcher to the death and the death penalty to the very limit , Mr Heddle can be called a sad loss to the Two Nations Tendency .",to the hilt,to the hilt,"[to, the, hilt]","q[lemma=""to""][lemma=""the""][lemma=""hilt""]",,"q[lemma=""to""][lemma=""the""][tag=""J.*""][lemma=""hilt""]",,"q[tag=""RB.?""][lemma=""to""][lemma=""the""][lemma=""hilt""]",,,v4_olmo-mix-1124_llama,to the hilt,1422944,False,805.2878379821777,"[304,278,298,2782]","[""▁to"",""▁the"",""▁h"",""ilt""]",,4575475702047,310.99367424536774
34,"He — in his little bit , sitting on a different spindly chair — had the presence of mind to take the opportunity of delivering an onslaught on the Snow school of criticism , the stranglehold they have , their implication that there are worthwhile characters who ‘ matter’ and others that can not have any importance .","He — in his little bit , sitting on a different spindly chair — had the ability to be calm and to take the opportunity of delivering an onslaught on the Snow school of criticism , the stranglehold they have , their implication that there are worthwhile characters who ‘ matter’ and others that can not have any importance .",presence of mind,presence of mind,"[presence, of, mind]","q[lemma=""presence""][lemma=""of""][lemma=""mind""]",,"q[tag=""J.*""][lemma=""presence""][lemma=""of""][lemma=""mind""]","q[lemma=""presence""][lemma=""of""][tag=""J.*""][lemma=""mind""]","q[tag=""RB.?""][lemma=""presence""][lemma=""of""][lemma=""mind""]",,,v4_olmo-mix-1124_llama,presence of mind,924944,False,721.1966514587402,"[10122,310,3458]","[""▁presence"",""▁of"",""▁mind""]",,4575475702047,202.1525323773862
35,"If Jitters did n't have a wife and kids back in the old country — which , come to think of it , he probably did n't these days — he might just have dragged Fat Old Stinky Juanita up before the padre and tied the old knot .","If Jitters did n't have a wife and kids back in the old country — which , on reflection , he probably did n't these days — he might just have dragged Fat Old Stinky Juanita up before the padre and tied the old knot .",tied the old knot,tie the knot,"[tie, the, knot]","q[lemma=""tie""][lemma=""the""][lemma=""knot""]","q[lemma=""the""][lemma=""knot""][lemma=""be""][lemma=""tie""]","q[lemma=""tie""][lemma=""the""][tag=""J.*""][lemma=""knot""]",,"q[tag=""RB.?""][lemma=""tie""][lemma=""the""][lemma=""knot""]",,"q[lemma=""tie"" & tag=""N.*""][lemma=""of""][lemma=""the""][lemma=""knot""]",v4_olmo-mix-1124_llama,tie the knot,442276,False,806.4484596252441,"[22134,278,889,327]","[""▁tie"",""▁the"",""▁kn"",""ot""]",,4575475702047,96.6622989172759
36,Total abstinence from any sweeteners can cure a sweet tooth permanently — which is much better in the long term .,Total abstinence from any sweeteners can cure a sweet tooth permanently — which is much better over a long period of time .,a sweet tooth,sweet tooth,"[sweet, tooth]","q[lemma=""sweet""][lemma=""tooth""]",,"q[lemma=""sweet""][tag=""J.*""][lemma=""tooth""]",,"q[tag=""RB.?""][lemma=""sweet""][lemma=""tooth""]",,,v4_olmo-mix-1124_llama,sweet tooth,1898724,False,799.31640625,"[14225,304,720]","[""▁sweet"",""▁to"",""oth""]",,4575475702047,414.9784904661474
